# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-T" "2" "-a" "results/main/annotation/ref.gtf" "-o" "results/counts/featurecounts/sample_1_isoforms_fpkm.tsv" "results/main/star_alignments/sample_1.bam" 
Geneid	Chr	Start	End	Strand	Length	results/main/star_alignments/sample_1.bam
YAL069W	I	335	649	+	315	9
YAL068W-A	I	538	792	+	255	1
YAL068C	I	1807	2169	-	363	9
YAL067W-A	I	2480	2707	+	228	8
YAL067C	I	7235	9016	-	1782	32
YAL066W	I	10091	10399	+	309	2
YAL065C	I	11565	11951	-	387	7
YAL064W-B	I	12046	12426	+	381	5
YAL064C-A	I	13363	13743	-	381	12
YAL064W	I	21566	21850	+	285	8
YAL063C-A	I	22395	22685	-	291	2
YAL063C	I	24000	27968	-	3969	38
YAL062W	I	31567	32940	+	1374	25
YAL061W	I	33448	34701	+	1254	31
YAL060W	I	35155	36303	+	1149	21
YAL059C-A	I	36496	36918	-	423	1
YAL059W	I	36509	37147	+	639	3
YAL058W	I	37464	38972	+	1509	23
YAL056C-A	I	38696	39046	-	351	0
YAL056W	I	39259	41901	+	2643	42
YAL055W	I	42177	42719	+	543	15
YAL054C	I	42881	45022	-	2142	50
YAL053W	I	45899	48250	+	2352	48
YAL051W	I	48564	51707	+	3144	35
YAL049C	I	51855	52595	-	741	13
YAL048C	I	52801	54789	-	1989	30
YAL047W-A	I	54584	54913	+	330	0
YAL047C	I	54989	56857	-	1869	14
YAL046C	I	57029	57385	-	357	5
YAL045C	I	57488	57796	-	309	1
YAL044W-A	I	57518	57850	+	333	0
YAL044C	I	57950	58462	-	513	12
YAL043C	I	58695	61052	-	2358	43
YAL042C-A	I	61231	61608	-	378	4
YAL042W	I	61316	62563	+	1248	20
YAL041W	I	62840	65404	+	2565	33
YAL040C	I	65778	67520	-	1743	18
YAL039C	I	68716	69525	-	810	19
YAL038W	I	71786	73288	+	1503	9
YAL037C-B	I	72326	73300	-	975	0
YAL037C-A	I	73426	73518	-	93	1
YAL037W	I	74020	74823	+	804	12
YAL036C	I	75043	76152	-	1110	16
YAL035W	I	76427	79435	+	3009	43
YAL034C-B	I	79489	79842	-	354	1
YAL034W-A	I	79718	80587	+	870	11
YAL034C	I	80710	81951	-	1242	28
YAL033W	I	82706	83227	+	522	6
YAL032C	I	83335	84474	-	1140	35
YAL031W-A	I	84669	84977	+	309	0
YAL031C	I	84749	87031	-	2283	28
YAL030W	I;I	87286;87501	87387;87752	+;+	354	9
YAL029C	I	87855	92270	-	4416	81
YAL028W	I	92900	94486	+	1587	27
YAL027W	I	94687	95472	+	786	5
YAL026C-A	I	95386	95823	-	438	0
YAL026C	I	95630	99697	-	4068	48
HRA1	I	99305	99868	+	564	3
YAL025C	I	100225	101145	-	921	14
YAL024C	I	101565	105872	-	4308	52
YAL023C	I	106272	108551	-	2280	32
YAL022C	I	108877	110430	-	1554	20
YAL021C	I	110846	113359	-	2514	42
YAL020C	I	113614	114615	-	1002	15
YAL019W-A	I	114250	114819	+	570	7
YAL019W	I	114919	118314	+	3396	41
YAL018C	I	118564	119541	-	978	10
YAL017W	I	120225	124295	+	4071	69
YAL016C-B	I	124307	124492	-	186	0
YAL016C-A	I	124755	125069	-	315	3
YAL016W	I	124879	126786	+	1908	23
YAL015C	I	126903	128102	-	1200	23
YAL014C	I	128252	129019	-	768	16
YAL013W	I	129270	130487	+	1218	22
YAL012W	I	130799	131983	+	1185	12
YAL011W	I	132199	134076	+	1878	30
YAL010C	I	134184	135665	-	1482	20
YAL009W	I	135854	136633	+	780	14
YAL008W	I	136914	137510	+	597	11
YAL007C	I	137698	138345	-	648	11
tP(UGG)A	I;I	139152;139219	139187;139254	+;+	72	0
YAL005C	I	139503	141431	-	1929	21
YAL004W	I	140760	141407	+	648	0
YAL003W	I;I	142174;142620	142253;143160	+;+	621	4
snR18	I	142367	142468	+	102	1
YAL002W	I	143707	147531	+	3825	50
YAL001C	I;I	147594;151097	151006;151166	-;-	3483	65
YAR002W	I	152257	153876	+	1620	30
YAR002C-A	I	154065	154724	-	660	11
YAR003W	I	155005	156285	+	1281	25
YAR007C	I	156754	158619	-	1866	41
YAR008W	I	158966	159793	+	828	19
tA(UGC)A	I	166267	166339	+	73	5
YAR014C	I	166742	168871	-	2130	42
YAR015W	I	169375	170295	+	921	28
YAR018C	I	170396	171703	-	1308	23
YAR019C	I	172211	175135	-	2925	45
YAR019W-A	I	174998	175330	+	333	13
YAR020C	I	176856	177023	-	168	14
YAR023C	I	179281	179820	-	540	16
tL(CAA)A	I;I	181141;181211	181178;181254	+;+	82	9
tS(AGA)A	I	182522	182603	-	82	7
YAR027W	I	183770	184477	+	708	22
YAR028W	I	184892	185596	+	705	22
YAR029W	I	186321	186545	+	225	7
YAR030C	I	186512	186853	-	342	3
YAR031W	I	186836	187732	+	897	21
YAR033W	I	188107	188811	+	705	10
YAR035W	I	190193	192256	+	2064	44
YAR035C-A	I	192337	192417	-	81	0
YAR042W	I	192619	196185	+	3567	76
YAR047C	I	201467	201787	-	321	7
YAR050W	I	203403	208016	+	4614	41
YAR053W	I	208367	208663	+	297	3
YAR060C	I	217157	217492	-	336	3
YAR061W	I	218140	219145	+	1006	6
